sym,pnl,pct,why,year,entry_dt,exit_dt,hold,sector,signal_date,entry_price,sl,tp1,tp2,shares,investment,score_pct,rsi,adx,exit_date,exit_price,exit_reason,pnl_pct,hold_days
ADIB,1949.36,8.111,TP1,2022,2022-06-23,2022-06-26,3,بنوك,2022-06-22,9.3436,8.8889,10.1015,10.8594,2675,25000.0,50.0,47.1,20.5,2022-06-26,10.1015,TP1,8.111,3
ADIB,1061.48,4.473,timeout,2022,2022-07-27,2022-08-08,12,بنوك,2022-07-26,9.9866,9.4515,10.8784,11.7702,2551,25477.96,54.0,64.1,15.0,2022-08-08,10.4333,timeout,4.473,12
ADIB,-1482.86,-5.473,SL,2022,2022-09-07,2022-09-19,12,بنوك,2022-09-06,11.6984,11.0582,12.7653,13.8323,2199,25733.78,66.7,59.7,43.7,2022-09-19,11.0582,SL,-5.473,12
ADIB,-1452.34,-5.437,SL,2022,2022-09-21,2022-09-25,4,بنوك,2022-09-20,11.8737,11.2281,12.9497,14.0257,2135,25353.41,64.7,57.6,33.1,2022-09-25,11.2281,SL,-5.437,4
ADIB,-1389.8,-5.274,SL,2022,2022-10-24,2022-11-01,8,بنوك,2022-10-23,11.1723,10.5831,12.1542,13.1362,2235,24980.82,50.0,51.1,38.6,2022-11-01,10.5831,SL,-5.274,8
ARCC,1361.78,7.584,timeout,2022,2022-10-31,2022-11-13,13,بنوك,2022-10-30,3.4688,3.226,4.1625,4.8562,5398,18726.25,60.0,53.3,21.0,2022-11-13,3.7319,timeout,7.584,13
ADIB,2023.08,8.419,TP1,2022,2022-11-15,2022-11-27,12,بنوك,2022-11-14,11.047,10.489,11.9771,12.9071,2259,24957.43,63.3,55.1,28.2,2022-11-27,11.9771,TP1,8.419,12
ADIB,2059.38,8.406,TP1,2022,2022-11-28,2022-11-29,1,بنوك,2022-11-27,11.8737,11.2748,12.8718,13.8699,2143,25453.84,64.0,63.7,22.1,2022-11-29,12.8718,TP1,8.406,1
ADIB,2648.59,10.522,TP1,2022,2022-12-29,2022-12-29,0,بنوك,2022-12-28,14.838,13.9012,16.3992,17.9605,1749,25959.14,49.3,61.6,32.2,2022-12-29,16.3992,TP1,10.522,0
ADIB,2286.54,8.908,timeout,2023,2023-01-02,2023-01-15,13,بنوك,2022-12-29,15.005,13.9546,17.0232,19.0414,1773,26611.55,49.3,63.0,33.7,2023-01-15,16.3417,timeout,8.908,13
ADIB,3861.32,14.532,TP1,2023,2023-01-19,2023-01-29,10,بنوك,2023-01-18,16.1072,14.9797,18.4479,20.7886,1687,27173.21,61.3,59.1,42.9,2023-01-29,18.4479,TP1,14.532,10
ADIB,-2050.37,-7.0,SL,2023,2023-02-01,2023-02-01,0,بنوك,2023-01-31,18.2531,16.9754,21.1781,24.1031,1541,28128.35,56.0,63.9,45.2,2023-02-01,16.9754,SL,-7.0,0
ARCC,608.21,3.19,timeout,2023,2023-02-01,2023-02-13,12,بنوك,2023-01-31,4.9224,4.5779,5.5885,6.2546,4283,21085.71,52.0,54.4,25.7,2023-02-13,5.0794,timeout,3.19,12
ADIB,490.35,2.5,timeout,2023,2023-02-02,2023-02-14,12,بنوك,2023-02-01,17.9024,16.6492,20.983,24.0637,1247,22325.87,67.3,61.1,44.3,2023-02-14,18.35,timeout,2.5,12
ADIB,-2030.6,-7.0,SL,2023,2023-02-15,2023-02-21,6,بنوك,2023-02-14,18.3867,17.0996,21.1673,23.9478,1515,27863.57,72.7,58.4,35.4,2023-02-21,17.0996,SL,-7.0,6
ARCC,2039.52,10.081,TP1,2023,2023-02-15,2023-02-26,11,بنوك,2023-02-14,5.1275,4.8174,5.6444,6.1612,4073,20887.23,47.3,62.6,17.9,2023-02-26,5.6444,TP1,10.081,11
ARCC,189.32,0.981,timeout,2023,2023-03-27,2023-04-09,13,بنوك,2023-03-26,5.7808,5.3762,6.6071,7.4334,4817,27847.52,73.3,59.2,21.5,2023-04-09,5.8375,timeout,0.981,13
ARCC,2282.33,10.39,TP1,2023,2023-04-12,2023-04-12,0,بنوك,2023-04-11,5.8872,5.5202,6.4989,7.1105,3848,22657.78,56.0,59.7,14.6,2023-04-12,6.4989,TP1,10.39,0
ADIB,2684.05,13.182,TP1,2023,2023-04-02,2023-04-18,16,بنوك,2023-03-30,15.389,14.3118,17.4176,19.4463,1356,20875.2,56.0,48.4,26.5,2023-04-18,17.4176,TP1,13.182,16
ARCC,1812.65,6.537,timeout,2023,2023-04-19,2023-05-01,12,بنوك,2023-04-18,6.0771,5.6575,6.7763,7.4756,4790,29109.68,57.3,61.9,20.6,2023-05-01,6.4744,timeout,6.537,12
ADIB,796.71,3.959,timeout,2023,2023-04-27,2023-05-09,12,بنوك,2023-04-26,17.4348,16.2488,19.4115,21.3881,1251,21821.34,54.0,62.5,22.8,2023-05-09,18.125,timeout,3.959,12
ADIB,1009.44,3.701,timeout,2023,2023-05-10,2023-05-22,12,بنوك,2023-05-09,18.1612,17.0602,19.9963,21.8313,1637,29742.92,72.7,61.9,32.8,2023-05-22,18.8333,timeout,3.701,12
ADIB,2944.45,10.137,TP1,2023,2023-05-28,2023-05-30,2,بنوك,2023-05-25,18.562,17.4331,20.4437,22.3253,1615,29984.13,46.0,56.0,33.2,2023-05-30,20.4437,TP1,10.137,2
ADIB,-2203.2,-6.887,SL,2023,2023-06-01,2023-06-08,7,بنوك,2023-05-31,20.2237,18.8309,22.545,24.8662,1518,30709.0,67.3,61.2,36.8,2023-06-08,18.8309,SL,-6.887,7
ADIB,658.06,2.487,timeout,2023,2023-06-20,2023-07-04,14,بنوك,2023-06-19,18.9211,17.5966,21.1798,23.4385,1593,30146.68,60.0,49.9,25.2,2023-07-04,19.3917,timeout,2.487,14
ARCC,-450.57,-1.697,timeout,2023,2023-06-25,2023-07-09,14,بنوك,2023-06-22,6.0771,5.6676,6.7595,7.4419,3718,22598.71,52.0,58.5,30.8,2023-07-09,5.974,timeout,-1.697,14
ADIB,-1575.64,-6.106,SL,2023,2023-07-09,2023-07-09,0,بنوك,2023-07-06,19.8647,18.6518,21.8862,23.9076,1240,24641.74,56.0,58.7,22.8,2023-07-09,18.6518,SL,-6.106,0
ADIB,-29.52,0.201,timeout,2023,2023-07-10,2023-07-24,14,بنوك,2023-07-09,18.729,17.4635,20.8383,22.9475,1589,29775.63,46.7,47.1,21.7,2023-07-24,18.7667,timeout,0.201,14
ADIB,2324.74,8.127,TP1,2023,2023-07-25,2023-07-30,5,بنوك,2023-07-24,18.8042,17.8873,20.3324,21.8607,1582,29757.08,50.0,47.2,12.7,2023-07-30,20.3324,TP1,8.127,5
ADIB,1560.09,5.453,timeout,2023,2023-08-02,2023-08-14,12,بنوك,2023-08-01,19.7561,18.7746,21.3919,23.0277,1535,30327.11,48.0,55.4,14.1,2023-08-14,20.8333,timeout,5.453,12
ADIB,-177.68,-0.279,timeout,2023,2023-08-15,2023-08-27,12,بنوك,2023-08-14,20.875,19.9525,22.4124,23.9499,1470,30705.76,59.3,64.5,20.2,2023-08-27,20.8167,timeout,-0.279,12
ARCC,2038.37,9.169,TP1,2023,2023-08-21,2023-08-27,6,بنوك,2023-08-20,5.4922,5.19,5.9958,6.4995,4191,23017.8,58.7,46.7,12.6,2023-08-27,5.9958,TP1,9.169,6
ADIB,-1027.79,-4.11,SL,2023,2023-08-29,2023-09-03,5,بنوك,2023-08-28,21.2925,20.4173,22.7511,24.2098,1096,23351.41,49.3,63.7,18.7,2023-09-03,20.4173,SL,-4.11,5
ARCC,2046.61,6.881,timeout,2023,2023-08-28,2023-09-10,13,بنوك,2023-08-27,5.6745,5.3429,6.2272,6.7798,5489,31150.78,48.0,56.8,17.1,2023-09-10,6.065,timeout,6.881,13
ARCC,-156.73,-0.2,timeout,2023,2023-09-12,2023-09-24,12,بنوك,2023-09-11,5.8796,5.5327,6.4577,7.0358,5337,31385.05,66.0,57.6,29.4,2023-09-24,5.8679,timeout,-0.2,12
ARCC,-1511.8,-4.532,SL,2023,2023-10-08,2023-10-08,0,بنوك,2023-10-04,6.0619,5.7872,6.5197,6.9775,5169,31334.1,46.0,62.7,23.3,2023-10-08,5.7872,SL,-4.532,0
ARCC,1631.18,5.581,timeout,2023,2023-10-31,2023-11-12,12,بنوك,2023-10-30,6.9507,6.4641,7.8888,8.8269,4451,30944.4,56.0,63.2,30.4,2023-11-12,7.3386,timeout,5.581,12
ADIB,3692.74,12.107,TP1,2023,2023-11-14,2023-11-26,12,بنوك,2023-11-13,29.058,27.0239,32.576,36.094,1078,31340.59,54.0,60.1,26.8,2023-11-26,32.576,TP1,12.107,12
ARCC,440.01,2.177,timeout,2023,2023-11-22,2023-12-04,12,بنوك,2023-11-21,7.3381,6.8251,8.1931,9.048,3201,23493.69,54.7,58.8,50.4,2023-12-04,7.4978,timeout,2.177,12
ADIB,-1788.01,-6.494,SL,2023,2023-11-30,2023-12-11,11,بنوك,2023-11-29,32.0222,29.9426,35.4883,38.9544,823,26369.79,50.7,64.6,28.2,2023-12-11,29.9426,SL,-6.494,11
ARCC,-1617.24,-5.99,SL,2023,2023-12-06,2023-12-12,6,بنوك,2023-12-05,7.452,7.0056,8.196,8.94,3455,25750.88,61.3,57.7,46.6,2023-12-12,7.0056,SL,-5.99,6
ADIB,-1719.99,-7.0,SL,2023,2023-12-21,2023-12-27,6,بنوك,2023-12-20,33.901,31.5279,37.9743,42.0477,696,23599.96,54.0,63.5,24.8,2023-12-27,31.5279,SL,-7.0,6
ARCC,417.97,1.63,timeout,2023,2023-12-19,2023-12-31,12,بنوك,2023-12-18,7.4596,6.9953,8.2336,9.0076,4220,31482.36,75.3,55.8,30.0,2023-12-31,7.5812,timeout,1.63,12
ARCC,2196.39,8.983,TP1,2024,2024-01-02,2024-01-02,0,بنوك,2023-12-31,7.5964,7.1869,8.2788,8.9612,3335,25337.23,55.3,59.1,20.5,2024-01-02,8.2788,TP1,8.983,0
ADIB,1356.26,6.171,timeout,2023,2023-12-28,2024-01-09,12,بنوك,2023-12-27,31.396,29.1983,35.4623,39.5287,737,23161.12,46.7,47.5,21.5,2024-01-09,33.3333,timeout,6.171,12
ARCC,-793.77,-2.772,timeout,2024,2024-01-08,2024-01-21,13,بنوك,2024-01-04,8.356,7.7822,9.3123,10.2686,3096,25876.83,79.3,64.9,28.7,2024-01-21,8.1243,timeout,-2.772,13
ADIB,2647.9,10.694,TP1,2024,2024-01-11,2024-01-21,10,بنوك,2024-01-10,34.5272,32.3119,38.2194,41.9116,739,25527.26,70.7,62.3,17.1,2024-01-21,38.2194,TP1,10.694,10
ARCC,-2173.05,-6.407,SL,2024,2024-01-23,2024-02-01,9,بنوك,2024-01-22,8.1172,7.5971,8.9841,9.8509,3997,32450.43,49.3,56.2,39.1,2024-02-01,7.5971,SL,-6.407,9
ADIB,-1772.93,-7.0,SL,2024,2024-02-01,2024-02-01,0,بنوك,2024-01-31,37.5917,34.9603,42.3157,47.0396,647,24325.65,48.0,54.8,29.4,2024-02-01,34.9603,SL,-7.0,0
ARCC,3525.01,11.531,TP1,2024,2024-02-13,2024-02-25,12,بنوك,2024-02-12,8.0316,7.476,8.9577,9.8838,3914,31442.64,48.0,55.0,30.4,2024-02-25,8.9577,TP1,11.531,12
ADIB,4372.84,13.87,TP1,2024,2024-03-07,2024-03-10,3,بنوك,2024-03-06,42.5766,39.5963,48.4821,54.3876,758,32312.1,50.0,62.6,17.5,2024-03-10,48.4821,TP1,13.87,3
ARCC,-2434.16,-7.0,SL,2024,2024-03-11,2024-03-11,0,بنوك,2024-03-10,11.3159,10.5238,13.6329,15.9499,2951,33393.19,49.3,61.9,41.4,2024-03-11,10.5238,SL,-7.0,0
ADIB,-2387.25,-7.0,SL,2024,2024-03-13,2024-03-13,0,بنوك,2024-03-12,44.255,41.1571,50.7035,57.152,740,32772.13,59.3,60.0,21.9,2024-03-13,41.1571,SL,-7.0,0
ADIB,-2342.98,-7.0,SL,2024,2024-03-26,2024-03-27,1,بنوك,2024-03-25,38.8191,36.1018,44.7433,50.6674,828,32163.03,45.3,46.4,15.5,2024-03-27,36.1018,SL,-7.0,1
ARCC,-1757.2,-7.001,SL,2024,2024-03-26,2024-03-27,1,بنوك,2024-03-25,9.8061,9.1196,12.0451,14.2841,2458,24110.21,48.7,50.3,23.3,2024-03-27,9.1196,SL,-7.001,1
ARCC,831.12,2.976,timeout,2024,2024-04-07,2024-04-21,14,بنوك,2024-04-04,9.5414,8.8735,11.5653,13.5892,3261,31116.88,68.7,51.2,18.6,2024-04-21,9.8253,timeout,2.976,14
ADIB,1167.29,4.036,timeout,2024,2024-05-13,2024-05-26,13,بنوك,2024-05-12,31.6716,29.4545,37.3284,42.9852,988,31312.99,50.0,47.9,27.9,2024-05-26,32.95,timeout,4.036,13
ADIB,3158.41,10.322,TP1,2024,2024-06-25,2024-07-04,9,بنوك,2024-06-24,33.4,31.3315,36.8476,40.2952,945,31593.07,46.0,56.8,17.1,2024-07-04,36.8476,TP1,10.322,9
ARCC,-224.39,-0.394,timeout,2024,2024-07-09,2024-07-21,12,بنوك,2024-07-08,7.9927,7.5138,8.7909,9.589,4050,32370.83,49.3,53.5,30.3,2024-07-21,7.9612,timeout,-0.394,12
ADIB,728.36,3.31,timeout,2024,2024-07-17,2024-07-29,12,بنوك,2024-07-16,35.3305,33.0077,39.2018,43.0732,686,24265.98,48.0,53.7,29.6,2024-07-29,36.5,timeout,3.31,12
ARCC,-1593.34,-5.785,SL,2024,2024-07-22,2024-08-04,13,بنوك,2024-07-21,7.9771,7.5156,8.7464,9.5156,3287,26226.99,72.7,54.4,24.1,2024-08-04,7.5156,SL,-5.785,13
ADIB,2276.21,9.104,TP1,2024,2024-07-30,2024-08-08,9,بنوك,2024-07-29,36.573,34.5752,39.9027,43.2324,708,25909.0,46.0,56.2,36.5,2024-08-08,39.9027,TP1,9.104,9
ADIB,3017.1,9.563,TP1,2024,2024-08-14,2024-08-21,7,بنوك,2024-08-13,39.068,36.8263,42.8041,46.5401,835,32626.75,48.0,57.2,33.1,2024-08-21,42.8041,TP1,9.563,7
ARCC,2423.04,10.225,TP1,2024,2024-08-20,2024-08-21,1,بنوك,2024-08-19,7.8448,7.3636,8.6469,9.449,3117,24457.83,56.7,56.6,20.6,2024-08-21,8.6469,TP1,10.225,1
ADIB,-1806.94,-5.028,SL,2024,2024-09-05,2024-09-08,3,بنوك,2024-09-04,42.9357,40.7769,46.5337,50.1316,791,33965.38,64.0,61.8,35.6,2024-09-08,40.7769,SL,-5.028,3
ARCC,-1010.07,-2.72,timeout,2024,2024-09-09,2024-09-22,13,بنوك,2024-09-08,8.6309,8.033,9.6274,10.6239,3881,33500.91,48.0,55.9,35.3,2024-09-22,8.3962,timeout,-2.72,13
ARCC,786.14,2.67,timeout,2024,2024-09-24,2024-10-07,13,بنوك,2024-09-23,8.662,8.1163,9.5715,10.481,3836,33235.83,70.0,56.8,33.8,2024-10-07,8.8933,timeout,2.67,13
ADIB,-347.03,-1.095,timeout,2024,2024-09-25,2024-10-07,12,بنوك,2024-09-24,39.1081,37.4335,41.899,44.6899,637,24914.41,62.0,51.6,20.1,2024-10-07,38.68,timeout,-1.095,12
ARCC,2782.97,8.666,TP1,2024,2024-10-08,2024-10-14,6,بنوك,2024-10-07,8.9111,8.4477,9.6833,10.4555,3739,33323.8,86.7,57.5,33.1,2024-10-14,9.6833,TP1,8.666,6
ADIB,2468.17,7.571,TP1,2024,2024-10-24,2024-11-03,10,بنوك,2024-10-23,40.09,38.2688,43.1254,46.1608,848,34007.05,52.7,58.4,24.4,2024-11-03,43.1254,TP1,7.571,10
ADIB,-278.07,-0.504,timeout,2024,2024-11-12,2024-11-24,12,بنوك,2024-11-11,42.6652,40.8444,45.6998,48.7344,811,34611.34,54.0,60.7,29.1,2024-11-24,42.45,timeout,-0.504,12
ARCC,-542.45,-1.794,timeout,2024,2024-11-13,2024-11-25,12,بنوك,2024-11-12,11.6894,10.9152,12.9798,14.2701,2219,25945.52,72.7,63.0,59.3,2024-11-25,11.4797,timeout,-1.794,12
ARCC,2688.06,8.131,TP1,2024,2024-12-02,2024-12-05,3,بنوك,2024-12-01,11.6739,11.1044,12.6231,13.5722,2945,34383.5,50.0,57.8,51.5,2024-12-05,12.6231,TP1,8.131,3
ARCC,2894.52,8.575,TP1,2024,2024-12-09,2024-12-15,6,بنوك,2024-12-08,12.1642,11.5383,13.2073,14.2504,2880,35042.62,60.7,64.5,50.4,2024-12-15,13.2073,TP1,8.575,6
ARCC,1332.77,4.034,timeout,2024,2024-12-24,2025-01-05,12,بنوك,2024-12-23,12.8413,12.0142,14.2197,15.598,2784,35753.11,48.0,55.8,52.1,2025-01-05,13.3593,timeout,4.034,12
ARCC,-2215.23,-5.852,SL,2025,2025-01-06,2025-01-13,7,بنوك,2025-01-05,13.386,12.6027,14.6915,15.997,2694,36072.89,48.0,59.8,43.1,2025-01-13,12.6027,SL,-5.852,7
ARCC,3869.21,11.217,TP1,2025,2025-01-16,2025-01-19,3,بنوك,2025-01-15,13.3147,12.4186,14.8082,16.3017,2666,35505.56,56.7,56.1,34.6,2025-01-19,14.8082,TP1,11.217,3
ARCC,4526.81,12.737,TP1,2025,2025-01-21,2025-01-21,0,بنوك,2025-01-20,14.2229,13.2273,16.0345,17.846,2563,36459.55,77.3,60.1,35.3,2025-01-21,16.0345,TP1,12.737,0
ARCC,4950.69,13.498,TP1,2025,2025-01-23,2025-01-27,4,بنوك,2025-01-22,15.1054,14.0481,17.1444,19.1833,2487,37577.58,60.7,64.2,37.7,2025-01-27,17.1444,TP1,13.498,4
ARCC,5670.96,14.939,TP1,2025,2025-01-30,2025-02-02,3,بنوك,2025-01-29,15.5938,14.5022,17.9234,20.2531,2488,38801.16,60.7,60.9,43.7,2025-02-02,17.9234,TP1,14.939,3
ARCC,5528.26,14.077,TP1,2025,2025-02-13,2025-02-23,10,بنوك,2025-02-12,17.5645,16.3349,20.0371,22.5098,2288,40204.35,46.0,64.7,43.0,2025-02-23,20.0371,TP1,14.077,10
ARCC,-536.4,-0.992,timeout,2025,2025-03-10,2025-03-23,13,بنوك,2025-03-09,19.4237,18.0641,21.7666,24.1094,2140,41571.34,59.3,60.3,53.4,2025-03-23,19.231,timeout,-0.992,13
ARCC,2682.5,6.787,timeout,2025,2025-04-14,2025-04-27,13,بنوك,2025-04-13,18.4812,17.1875,21.1625,23.8437,2241,41421.65,55.3,48.2,39.7,2025-04-27,19.7355,timeout,6.787,13
ARCC,4572.73,11.185,TP1,2025,2025-04-29,2025-05-08,9,بنوك,2025-04-28,20.5633,19.1832,22.8634,25.1636,2046,42076.74,56.0,62.7,27.9,2025-05-08,22.8634,TP1,11.185,9
ARCC,1436.79,3.631,timeout,2025,2025-05-13,2025-05-25,12,بنوك,2025-05-12,21.8742,20.5306,24.1135,26.3528,1975,43204.14,54.0,63.3,24.6,2025-05-25,22.6685,timeout,3.631,12
ARCC,5870.71,13.81,TP1,2025,2025-06-18,2025-06-25,7,بنوك,2025-06-17,27.0321,25.1399,30.7652,34.4983,1610,43547.14,66.0,65.0,42.6,2025-06-25,30.7652,TP1,13.81,7
ARCC,2338.45,5.506,timeout,2025,2025-07-14,2025-07-27,13,بنوك,2025-07-13,29.971,27.9267,33.378,36.7851,1501,44998.49,49.3,60.9,36.3,2025-07-27,31.6213,timeout,5.506,13
ARCC,2820.29,6.499,timeout,2025,2025-07-29,2025-08-10,12,بنوك,2025-07-28,31.2733,29.2706,34.6111,37.9488,1457,45566.23,62.7,63.5,27.6,2025-08-10,33.3059,timeout,6.499,12
ARCC,-860.97,-1.564,timeout,2025,2025-09-10,2025-09-22,12,بنوك,2025-09-09,32.5928,30.3516,36.3281,40.0635,1419,46254.21,56.7,45.2,30.1,2025-09-22,32.0831,timeout,-1.564,12
ARCC,4798.44,10.75,TP1,2025,2025-09-28,2025-10-12,14,بنوك,2025-09-25,33.1583,31.0196,36.7227,40.2871,1387,46021.62,62.0,51.5,20.6,2025-10-12,36.7227,TP1,10.75,14
ARCC,4561.27,9.98,TP1,2025,2025-11-05,2025-11-12,7,بنوك,2025-11-04,39.927,37.5362,43.9117,47.8964,1182,47203.97,48.0,59.4,36.1,2025-11-12,43.9117,TP1,9.98,7
ADIB,3274.89,9.573,TP1,2025,2025-11-12,2025-11-17,5,بنوك,2025-11-11,23.8661,22.4952,26.1509,28.4357,1482,35385.28,56.7,47.3,46.9,2025-11-17,26.1509,TP1,9.573,5
ADIB,-3008.28,-5.833,SL,2025,2025-11-18,2025-11-25,7,بنوك,2025-11-17,25.7314,24.2305,28.2328,30.7343,1909,49132.04,64.7,60.0,39.2,2025-11-25,24.2305,SL,-5.833,7
ADIB,3459.64,9.859,TP1,2025,2025-12-01,2025-12-04,3,بنوك,2025-11-30,26.0219,24.4826,28.5874,31.1529,1393,36253.02,54.7,60.1,28.3,2025-12-04,28.5874,TP1,9.859,3
ARCC,117.58,0.544,timeout,2025,2025-11-30,2025-12-14,14,بنوك,2025-11-27,43.6969,40.6381,48.8117,53.9265,1106,48361.55,48.7,57.8,36.9,2025-12-14,43.9347,timeout,0.544,14
ARCC,337.94,0.988,timeout,2025,2025-12-15,2025-12-28,13,بنوك,2025-12-14,44.0225,41.7963,47.7329,51.4433,1118,49224.12,54.7,56.0,34.9,2025-12-28,44.4575,timeout,0.988,13
ARCC,-125.68,0.045,timeout,2025,2025-12-29,2026-01-11,13,بنوك,2025-12-28,44.5464,42.8786,47.3261,50.1058,1106,49290.14,61.3,58.2,31.8,2026-01-11,44.5664,timeout,0.045,13
ADIB,2848.79,8.026,TP1,2026,2026-01-11,2026-01-11,0,بنوك,2026-01-08,29.8295,28.3931,32.2237,34.6178,1238,36949.12,74.7,60.8,31.9,2026-01-11,32.2237,TP1,8.026,0
ARCC,3136.56,6.592,TP1,2026,2026-02-09,2026-02-16,7,بنوك,2026-02-08,44.1098,42.3652,47.0173,49.9249,1132,49938.58,68.7,55.4,20.6,2026-02-16,47.0173,TP1,6.592,7
ADIB,-3693.58,-7.0,SL,2026,2026-02-23,2026-03-01,6,بنوك,2026-02-22,40.7313,37.8801,45.5186,50.3058,1244,50703.99,52.7,60.1,44.9,2026-03-01,37.8801,SL,-7.0,6
ARCC,-2033.54,-5.058,SL,2026,2026-03-01,2026-03-01,0,بنوك,2026-02-26,46.0656,43.7354,49.9491,53.8326,825,38008.98,64.7,57.7,22.7,2026-03-01,43.7354,SL,-5.058,0
ARCC,-2547.14,-4.884,timeout,2026,2026-03-02,2026-03-15,13,بنوك,2026-03-01,45.3469,42.8292,49.5431,53.7394,1085,49238.94,54.7,53.8,22.1,2026-03-15,43.132,timeout,-4.884,13
ADIB,-2297.86,-4.437,timeout,2026,2026-03-18,2026-03-30,12,بنوك,2026-03-17,39.8796,37.088,44.9217,49.9638,1218,48583.69,46.7,53.5,21.6,2026-03-30,38.11,timeout,-4.437,12
ARCC,2852.7,8.153,TP1,2026,2026-03-29,2026-04-01,3,بنوك,2026-03-26,44.9194,42.7221,48.5815,52.2436,810,36419.55,45.3,55.3,16.9,2026-04-01,48.5815,TP1,8.153,3
ADIB,4096.33,8.727,TP1,2026,2026-04-07,2026-04-14,7,بنوك,2026-04-06,40.9818,38.836,44.5582,48.1346,1188,48690.53,54.7,58.0,13.7,2026-04-14,44.5582,TP1,8.727,7
ADIB,3708.43,7.778,TP1,2026,2026-04-30,2026-05-03,3,بنوك,2026-04-29,44.3886,42.3172,47.841,51.2933,1119,49696.35,48.0,59.8,24.4,2026-05-03,47.841,TP1,7.778,3
ARCC,2337.71,6.478,TP1,2026,2026-05-06,2026-05-11,5,بنوك,2026-05-05,53.7573,51.6679,57.2397,60.7221,705,37934.64,46.0,64.4,27.5,2026-05-11,57.2397,TP1,6.478,5
ADIB,-665.32,-1.017,timeout,2026,2026-05-05,2026-05-17,12,بنوك,2026-05-04,46.4728,43.9407,50.6929,54.913,1088,50604.82,66.0,63.3,28.4,2026-05-17,46.0,timeout,-1.017,12
ARCC,2950.41,6.097,timeout,2026,2026-05-18,2026-06-01,14,بنوك,2026-05-17,55.11,52.8678,58.847,62.584,925,50989.72,48.0,57.7,29.4,2026-06-01,58.47,timeout,6.097,14
ADIB,13.71,0.336,timeout,2026,2026-05-24,2026-06-07,14,بنوك,2026-05-21,46.6431,43.7468,51.4702,56.2973,819,38223.17,46.7,53.5,38.7,2026-06-07,46.8,timeout,0.336,14
ADIB,-584.45,-0.833,end,2026,2026-06-16,2026-06-21,5,بنوك,2026-06-15,47.3946,45.3164,50.8582,54.3219,1090,51697.29,82.0,54.1,28.4,2026-06-21,47.0,end_of_test,-0.833,5
